Speaker,Gender,Word,Phenome,Time,Formant1,Formant2,Formant3
alw001,F,heed,IY,0.931746,380.739503,2523.079518,3234.430697
alw001,F,hid,IH,2.014639,479.727255,2715.679948,3338.6606
alw001,F,head,EH,3.00364,735.34023,2300.468502,3159.912711
cxb001,F,heed,IY,0.828268,355.837818,2821.359346,3911.313367
cxb001,F,hid,IH,1.415768,360.737197,2849.009182,3259.985862
cxb001,F,head,EH,2.688856,712.79674,2313.689392,3225.140611
jah001,F,heed,IY,1.395432,376.831228,2813.39912,3465.456833
jah001,F,hid,IH,2.16126,510.192739,2733.623481,3269.450351
jah001,F,head,EH,3.178641,746.438899,2420.101173,3229.596125
jep001,F,heed,IY,1.307665,411.806539,2476.034546,2959.333739
jep001,F,hid,IH,2.399182,542.484433,2567.021107,2808.125796
jep001,F,head,EH,3.152533,846.026456,2427.611132,3040.079685
knb001,F,heed,IY,0.856538,374.897303,1663.174333,2881.817669
knb001,F,hid,IH,1.700478,474.289349,2665.591307,3135.376666
knb001,F,head,EH,2.624375,716.107871,1374.113388,2370.209948
ajh001,M,heed,IY,1.428871,312.134945,2470.69607,3182.821795
ajh001,M,hid,IH,2.250596,348.476545,2120.444602,2892.08239
ajh001,M,head,EH,3.054505,512.917393,2020.082152,2791.892435
apd001,M,heed,IY,0.995162,277.246761,2234.782073,2829.515803
apd001,M,hid,IH,1.594253,351.076134,2163.006533,2733.207307
apd001,M,head,EH,2.313069,519.67116,1964.575799,2591.983909
ars001,M,heed,IY,2.887479,115.574294,2129.421166,2869.83987
ars001,M,hid,IH,3.731754,382.151275,2022.795679,2701.52641
ars001,M,head,EH,4.484637,568.731974,1814.004554,2526.107672
axm001,M,heed,IY,1.860376,264.823349,2328.473869,3022.958782
axm001,M,hid,IH,2.521267,460.5123,2050.983145,2640.744039
axm001,M,head,EH,3.376003,705.76992,1925.15683,2569.351488
ikp001,M,heed,IY,1.44237,243.344705,2368.591804,3413.320465
ikp001,M,hid,IH,2.569668,294.841926,2338.40332,3178.895613
ikp001,M,head,EH,3.596967,569.796734,2138.626673,2715.439364
cxc001,F,heed,IY,0.946481,366.223117,2735.586415,3351.413814
cxc001,F,hid,IH,1.584496,552.02594,2401.391497,2768.593774
cxc001,F,head,EH,2.200014,781.337872,2188.91957,2728.198877
dmc001,F,heed,IY,0.408199,413.578167,2713.50594,3077.08807
dmc001,F,hid,IH,0.954532,538.150966,2463.115231,3253.122259
dmc001,F,head,EH,1.443655,781.417978,2068.523315,3213.249794
ejr001,F,heed,IY,0.744346,343.652103,2815.237493,3142.740663
ejr001,F,hid,IH,1.270651,471.541166,2432.541365,2998.537543
ejr001,F,head,EH,1.853151,480.849619,2315.180343,2999.382809
exc001,F,heed,IY,0.833422,276.56404,2759.689669,3220.364393
exc001,F,hid,IH,1.382434,653.492303,2475.906585,3021.715678
exc001,F,head,EH,2.424342,790.25678,2165.002386,2931.983284
jmc001,F,heed,IY,2.394995,380.443252,2680.203593,3195.729489
jmc001,F,hid,IH,2.776983,674.232349,2245.537665,3103.479885
jmc001,F,head,EH,3.189483,802.022595,1941.784733,3031.463915
acr001,M,heed,IY,2.98029,177.724446,2130.13774,2883.05642
acr001,M,hid,IH,3.32404,845.621887,2067.618874,2348.484211
acr001,M,head,EH,3.66154,643.929743,1823.935495,2488.554162
bxp001,M,heed,IY,0.890675,278.033309,2459.290856,2962.690233
bxp001,M,hid,IH,1.757278,406.677162,2205.54871,2768.923894
bxp001,M,head,EH,2.660266,610.595504,2032.723352,2509.774055
cgm001,M,heed,IY,11.890022,184.674528,2630.82915,2960.215666
cgm001,M,hid,IH,12.402522,475.955989,2229.43127,2875.685182
cgm001,M,head,EH,13.252522,580.207624,2032.821366,2835.45087
cxg001,M,heed,IY,0.712792,245.748813,2326.598535,3157.648825
cxg001,M,hid,IH,1.281542,505.117866,2072.254018,2694.254737
cxg001,M,head,EH,1.844042,658.670586,1958.111228,2628.102104
ejd001,M,heed,IY,1.007123,228.374072,2299.684577,3086.522997
ejd001,M,hid,IH,1.782123,397.825121,2057.477472,2904.363773
ejd001,M,head,EH,2.663373,499.301208,2012.706328,2845.125125
ald001,F,heed,IY,1.734188,361.825875,2762.482255,2898.849703
ald001,F,hid,IH,2.640438,429.761516,2483.078108,2738.604821
ald001,F,head,EH,3.671688,698.777675,2221.778868,2418.971229
cxb002,F,heed,IY,0.828554,401.749699,2590.479915,3218.658934
cxb002,F,hid,IH,1.591054,543.210879,2459.454073,3112.58541
cxb002,F,head,EH,2.647304,761.901646,2331.5449,3049.65833
dab001,F,heed,IY,2.254068,135.925824,2587.081678,3058.836489
dab001,F,hid,IH,3.397818,395.482237,2408.712369,2899.129311
dab001,F,head,EH,4.454068,569.811605,2268.997204,2840.032806
hjl001,F,heed,IY,1.276274,313.31784,908.681617,3337.753783
hjl001,F,hid,IH,2.388774,619.493347,2897.408575,3332.119971
hjl001,F,head,EH,3.582524,723.020383,2546.896576,3353.045093
jkb001,F,heed,IY,2.566533,371.242823,2552.903223,3421.065824
jkb001,F,hid,IH,3.610283,415.041989,2711.290532,2912.498013
jkb001,F,head,EH,4.654033,571.35333,2283.412798,2978.573504
asp001,M,heed,IY,1.125433,387.045066,2315.548125,2522.601237
asp001,M,hid,IH,1.912933,405.108449,2188.799756,2704.386052
asp001,M,head,EH,3.406683,484.402036,2091.346847,2471.59578
baj001,M,heed,IY,1.965984,387.402217,2419.76238,2985.365802
baj001,M,hid,IH,2.990984,472.364222,2322.510225,3006.617566
baj001,M,head,EH,4.015984,637.964447,2041.983919,2874.391486
htl001,M,heed,IY,0.751786,264.126286,2319.104569,3071.075857
htl001,M,hid,IH,1.620536,406.214262,2113.314204,2636.532334
htl001,M,head,EH,2.608036,596.677367,1917.649355,2551.510221
ifp001,M,heed,IY,1.718363,236.681594,2264.679056,3665.1059
ifp001,M,hid,IH,3.280863,2118.227112,3143.135445,3977.93249
ifp001,M,head,EH,5.355863,487.116272,1928.573387,2632.83116
kxk001,M,heed,IY,1.04371,158.255421,2190.635978,2886.2368
kxk001,M,hid,IH,2.11871,191.593285,1992.650917,2746.929846
kxk001,M,head,EH,3.14996,575.773441,1838.842054,2662.307909
cet001,F,heed,IY,2.241043,368.67077,2828.990935,3397.535272
cet001,F,hid,IH,2.766043,534.970305,2472.389316,3156.094706
cet001,F,head,EH,3.416043,797.466035,2390.682628,3111.10327
edc001,F,heed,IY,1.258368,376.691824,2870.99434,3349.93662
edc001,F,hid,IH,2.014618,546.475568,2591.246762,3151.743334
edc001,F,head,EH,2.902118,722.647839,2317.370541,2983.851059
hxc001,F,heed,IY,1.382235,326.355613,3100.023591,3168.209906
hxc001,F,hid,IH,2.219735,527.490491,1041.862751,2723.448271
hxc001,F,head,EH,3.094735,883.215636,2230.223683,2331.796165
jat001,F,heed,IY,1.267991,358.407096,2709.30242,3136.369302
jat001,F,hid,IH,2.042991,533.282842,2455.916665,3121.89109
jat001,F,head,EH,2.742991,755.91351,2317.704068,3001.36264
jfj001,F,heed,IY,1.170471,406.063127,2924.424241,3477.116345
jfj001,F,hid,IH,2.376721,581.227907,2503.336198,3176.616588
jfj001,F,head,EH,3.570471,814.141188,2204.481587,3176.790012
ajt001,M,heed,IY,3.106008,298.863689,2369.325969,3010.047176
ajt001,M,hid,IH,3.962258,468.570054,1885.805378,2587.41274
ajt001,M,head,EH,4.937258,662.873405,1644.214373,2613.679786
axc001,M,heed,IY,1.004451,74.713694,2308.681194,2942.589181
axc001,M,hid,IH,1.535701,373.94948,2017.678828,2654.968906
axc001,M,head,EH,1.991951,636.632837,1805.68283,2715.816038
ccw001,M,heed,IY,1.686271,303.069707,2560.560538,3085.173324
ccw001,M,hid,IH,2.273771,472.352174,2232.425536,2979.188692
ccw001,M,head,EH,2.898771,592.262508,2111.089332,2797.394468
dps001,M,heed,IY,0.996983,299.144191,2079.365435,2643.279118
dps001,M,hid,IH,1.765733,251.346383,2030.746116,2603.944143
dps001,M,head,EH,2.921983,679.768177,1797.45602,2501.373714
dwc001,M,heed,IY,1.338715,282.335701,2444.476771,2787.374746
dwc001,M,hid,IH,1.913715,383.410729,2168.546985,2659.125181
dwc001,M,head,EH,2.557465,565.57192,1996.640524,2577.920726
aud001,F,heed,IY,2.059663,333.805803,2849.820415,3428.776771
aud001,F,hid,IH,2.484663,831.084264,1975.273443,3158.99512
aud001,F,head,EH,3.003413,572.226275,2544.425168,3214.929622
fmb001,F,heed,IY,0.694755,304.01658,2730.043796,3272.51105
fmb001,F,hid,IH,1.157255,655.535919,2241.709183,3078.241614
fmb001,F,head,EH,1.61947,538.055171,2373.456544,2981.17267
jec001,F,heed,IY,0.985969,309.574426,2914.132395,3562.909392
jec001,F,hid,IH,1.823469,806.710018,2021.131245,3010.557673
jec001,F,head,EH,2.723469,596.766997,2580.506757,3255.65651
joh001,F,heed,IY,1.511435,380.220791,2673.884903,3074.502379
joh001,F,hid,IH,2.298935,688.012705,1865.846071,2598.313006
joh001,F,head,EH,3.155185,588.215057,2416.204266,3020.057778
kam001,F,heed,IY,0.495058,350.069022,2910.139575,3246.381737
kam001,F,hid,IH,1.138808,650.076298,2237.327767,2968.447955
kam001,F,head,EH,1.895058,552.948879,2596.241686,3032.576254
gty001,M,heed,IY,1.188546,282.780742,2135.251261,3063.071419
gty001,M,hid,IH,1.913546,647.345539,1672.37861,2499.073771
gty001,M,head,EH,2.788546,503.6703,2007.947113,2522.812956
iwd001,M,heed,IY,0.68871,2365.703321,3121.391825,3682.843329
iwd001,M,hid,IH,1.23871,609.222214,1967.515664,2745.283447
iwd001,M,head,EH,1.95121,600.949392,2137.137486,2762.093266
jmc002,M,heed,IY,0.573581,301.933649,2547.637845,3034.346014
jmc002,M,hid,IH,1.067331,665.077792,1600.267011,3052.239581
jmc002,M,head,EH,1.598581,552.734442,2080.574852,2806.700143
ljg001,M,heed,IY,0.819941,324.477681,2490.027196,2951.017944
ljg001,M,hid,IH,1.576191,606.095636,1777.798766,2657.114468
ljg001,M,head,EH,2.626191,499.775707,2324.30067,2927.648066
rac001,M,heed,IY,1.950059,2489.848771,3014.362742,4023.259388
rac001,M,hid,IH,2.500059,681.969056,1572.935418,2459.587404
rac001,M,head,EH,4.168809,511.675071,2141.193809,2985.573668
